ts;Time;temp1;temp2;Package id 0;Core 0;Core 1
1554129432;2019-04-01:18:37;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129435;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129438;2019-04-01:18:37;+27.8;	+29.8;	+64.0;	+64.0;	+61.0
1554129441;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129444;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129447;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129450;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129454;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129457;2019-04-01:18:37;+27.8;	+29.8;	+65.0;	+65.0;	+60.0
1554129460;2019-04-01:18:37;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129463;2019-04-01:18:37;+27.8;	+29.8;	+65.0;	+65.0;	+60.0
1554129466;2019-04-01:18:37;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129469;2019-04-01:18:37;+27.8;	+29.8;	+64.0;	+64.0;	+61.0
1554129472;2019-04-01:18:37;+27.8;	+29.8;	+65.0;	+65.0;	+60.0
1554129475;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129478;2019-04-01:18:37;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129481;2019-04-01:18:38;+27.8;	+29.8;	+65.0;	+65.0;	+60.0
1554129484;2019-04-01:18:38;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129487;2019-04-01:18:38;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129490;2019-04-01:18:38;+27.8;	+29.8;	+64.0;	+64.0;	+62.0
1554129493;2019-04-01:18:38;+27.8;	+29.8;	+64.0;	+64.0;	+61.0
1554129496;2019-04-01:18:38;+27.8;	+29.8;	+64.0;	+64.0;	+61.0
1554129499;2019-04-01:18:38;+27.8;	+29.8;	+65.0;	+65.0;	+61.0
1554129502;2019-04-01:18:38;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129505;2019-04-01:18:38;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129508;2019-04-01:18:38;+27.8;	+29.8;	+65.0;	+65.0;	+61.0
1554129511;2019-04-01:18:38;+27.8;	+29.8;	+64.0;	+64.0;	+61.0
1554129514;2019-04-01:18:38;+27.8;	+29.8;	+65.0;	+65.0;	+61.0
1554129517;2019-04-01:18:38;+27.8;	+29.8;	+65.0;	+65.0;	+61.0
